Date,Open,High,Low,Close,Adj Close,Volume
2022-03-02,73.410004,75.750000,72.019997,75.230003,73.661888,2633800
2022-03-03,75.730003,77.410004,74.639999,77.089996,75.483124,3043700
2022-03-04,75.720001,77.570000,75.129997,77.379997,75.767075,2338400
2022-03-07,77.139999,77.459999,71.779999,72.379997,70.871292,3616900
2022-03-08,71.639999,72.410004,68.809998,69.970001,68.511520,2732300
2022-03-09,70.260002,73.290001,70.050003,71.949997,70.450256,2111800
2022-03-10,71.910004,73.849998,71.139999,72.389999,70.881088,2306600
2022-03-11,72.379997,74.400002,71.599998,72.120003,70.616714,2302500
2022-03-14,71.900002,72.279999,69.440002,71.489998,69.999840,2421700
2022-03-15,70.860001,73.220001,69.529999,73.110001,71.586075,2046600
2022-03-16,74.239998,76.059998,72.199997,75.010002,73.446480,2765800
2022-03-17,76.199997,81.230003,75.139999,81.059998,79.370361,3773300
2022-03-18,79.680000,84.370003,79.019997,84.209999,82.454704,7039900
2022-03-21,85.550003,87.309998,83.089996,85.180000,83.404488,2831000
2022-03-22,86.010002,86.970001,83.129997,84.199997,82.444916,2058400
2022-03-23,84.070000,86.120003,83.400002,85.459999,83.678650,2040800
2022-03-24,85.970001,88.680000,85.970001,88.660004,86.811951,2064500
2022-03-25,87.970001,89.690002,86.709999,89.489998,87.624641,1761600
2022-03-28,88.389999,88.680000,85.690002,87.169998,85.353012,1680500
2022-03-29,84.620003,85.139999,81.269997,84.160004,82.405746,2818400
2022-03-30,85.519997,86.309998,83.029999,83.639999,82.228783,1817200
2022-03-31,84.239998,86.209999,83.209999,83.430000,82.022339,2172900
2022-04-01,84.989998,86.290001,83.690002,84.989998,83.556007,2030600
2022-04-04,84.529999,85.190002,82.839996,83.599998,82.189468,1630700
2022-04-05,83.629997,85.089996,82.059998,82.540001,81.147354,1589100
2022-04-06,82.540001,83.519997,79.690002,82.169998,80.783592,2276800
2022-04-07,81.519997,84.129997,80.879997,83.639999,82.228783,1348200
2022-04-08,84.169998,84.690002,82.809998,83.199997,81.796211,1452500
2022-04-11,83.239998,84.959999,82.449997,83.650002,82.238625,1471800
2022-04-12,85.010002,87.529999,84.099998,84.639999,83.211914,1976500
2022-04-13,85.440002,87.410004,84.190002,87.339996,85.866364,1232500
2022-04-14,87.360001,89.120003,87.339996,88.320000,86.829826,1657500
